ID,Start time,Completion time,Email,Name,Last modified time,Age.,Gender.,Professional Occupation.,Do you have experience with virtual reality?,Column,2,3,4,5,6,7,8,9,10,11,12,13,14,I think that I would like to use this system frequently.,I found the system unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use .,I found the various functions in the system were well integrated.,I thought there was too much inconsistency in this system.,I imagine that most people would learn to use this product very quickly.,I found the product very awkward to use.,I felt very confident using the product,I needed to learn a lot of things before I could get going with this product.,What did you like most and less about the game.,"Do you have any suggestions, comments, or thoughts about your experience with the personalized XR session?
",Other Suggestions
2,3/9/26 10:38:45,3/9/26 10:46:27,anonymous,,,30,Female,Student,Yes,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,,,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,"o jogo é divertido e o ambiente diferente, isso ajuda na envolvência. creio que ler o texto torna mais dificil a compreensão das tarefas",,"acredito que seria interessante ter o texto de explicação narrado, porque se torna mais fácil compreender e não obriga o utilizador a fazer o esforço de ler, compreender e memorizar as instruções"
3,3/9/26 10:55:21,3/9/26 11:01:34,anonymous,,,31,Male,Student,Yes,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,,Agree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Os mini jogos e a resposta auditiva e visual ,,"Ter mais feedback auditivo, mesmo quando errar o alvo ! E se calhar ter mais dialogos durante o jogo para poder ser mais imersivo."
4,3/9/26 11:10:55,3/9/26 14:47:49,anonymous,,,23,Male,Student,No,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,,,,,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,"O que eu gostei mais do jogo não foi só do mini-games, mas também do som ambiental. Senti-me imersivo, numa feira, e os sons foram bem escolhidos. Contudo, reparei que no jogo do arco os balões às vezes ficavam uns em cima dos outros, se for 1 ou 2 não há problema, mas o que aconteceu foi +/-5.",,"Talvez o espaço podia ser maior no jogo do arco, e a distância entre o player e os balões poderia variar dependendo da dificuldade, o que obrigava o jogador a variar o ângulo de lançamento, etc. Além disso, podia ser adicionado alguns obstáculos, fazendo com que o jogador tivesse de esperar pelos balões aparecerem."
5,3/9/26 17:10:42,3/9/26 17:45:46,anonymous,,,21,Male,Student,No,Disagree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,,,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,"It was fun and engaging, possibly due to its simplistic and vibrant nature.",,"Video introductions as opposed to text, and an option to restart the tutorial or go back a step.
A darts-like target for frisbee scoring rather than smaller regions worth less.
The ""menu"" shouldn't hide the games unless looking, because detection isn't great and it can be jarring."
6,3/9/26 17:50:58,3/9/26 17:56:52,anonymous,,,24,Male,Student,No,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,"I loved how easy it is to understand, the user experience is amazing. Should have more mini games.",,
7,3/10/26 16:37:14,3/10/26 16:44:10,anonymous,,,21,Female,Student,No,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,,,Agree,Strongly disagree,Neutral,Agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,"a dinamica de jogo estava boa, mas o tamanho da letra devia ser maior ",,
8,3/10/26 17:11:06,3/10/26 17:18:53,anonymous,,,22,Male,Student,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly agree,,,Neutral,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Eu estava muito imersivo,,
9,3/10/26 18:50:41,3/10/26 19:19:48,anonymous,,,22,Male,Student Researcher,No,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,,,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,"The frisbee game physics are weird. As the difculty adjust as I start missing, it feels like the physics also change.",,The button that you need to press sometimes doesnt work properly. It works better when you press with one finger than with the whole hand open.
10,3/12/26 11:00:50,3/12/26 11:09:02,anonymous,,,23,Female,Student,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Disagree,"Gosto bastanto do jogo em si, está muito bem concebido. Tanto acerca do cenário como dos mini-jogos. Além de ser útil para a reabiliação tambem é divertido :D",Diria que podia haver um acréscimo de pontos caso a sequência fosse cada vez maior.,
11,3/12/26 17:23:16,3/12/26 17:31:02,anonymous,,,26,Male,Student,Yes,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,"I liked the interaction with both the bow and the frisbee, but I would like to have other modes. For example, in the bow a mode to register the highscores in a limited time. ","I think that a beneficial form of personalization for the frisbee, would be the indication of the trajectory, as in the bow game. Maybe it could appear when the person loses precision, helping them in the task, and disappear when they improve again.",
